uid,svt,updated_millis,user_uid,baby_uid,type,start_millis,notes,group_uid,end_millis,pause_millis,duration,left_duration,right_duration,in_progress,side,pee,poo,hair_wash,temperature,volume,amount,amount_unit,reaction
80816465334625171028124682455283,1652645553511,1652645553450,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,bath,1652645550429,,,0,0,0,0,0,0,,0,0,1,0.0,0.0,0.0,,liked
YN627355038455755107186330456212,1652645561477,1652645561373,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652645559990,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
fkqlvomteqimyxqurigHCO4837336617,1652648761265,1652648761124,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652647726729,,,1652648761124,0,1034395,0,0,0,,0,0,0,0.0,0.0,0.0,,
unydbjoNGVEQSOKQPREC277370533168,1652652690185,1652652690145,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652652480619,,,1652652690145,0,209526,0,0,0,,0,0,0,0.0,0.0,0.0,,
31564078432556857210440200567350,1652653350242,1652653350139,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652653061061,,,1652653350139,0,289078,0,0,0,,0,0,0,0.0,0.0,0.0,,
sbuVQS13312446847032752346578870,1652656464181,1652656463407,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652653793541,,,0,0,0,0,0,0,,0,0,0,0.0,175.0,0.0,,
neupdljalswfXYQRIPFCWDPOVMHONNK2,1652655211558,1652655210814,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652655210095,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
nkqgxmnB647461530817832377663255,1652666021118,1652666020360,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652666019320,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
dbdxafkOJJVBV1006886462713325838,1652666803550,1652666802831,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652666377349,,,0,0,0,0,0,0,,0,0,0,0.0,110.0,0.0,,
dtrfsUAGBU5858282675253768864087,1652695782173,1652695781515,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652666808319,,,1652695781515,0,28973196,0,0,0,,0,0,0,0.0,0.0,0.0,,
eiC27588188523827453770086375223,1652670847022,1652670846828,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652669425367,,,0,0,0,0,0,0,both,0,0,0,0.0,350.0,0.0,,
kvxdBN31043212817008857723545703,1652698189211,1652698188362,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652698187334,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
xurmILPJJPMHWHOYIDEIBHEMACQFXI47,1652698218073,1652698217436,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652698215233,,,0,0,0,0,0,0,,0,0,0,0.0,130.0,0.0,,
jtsfekltilqopmJOLXUNCEWEDSE64685,1652700818439,1652700817800,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652700816578,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
sbrwyhsubNGHWLW41801121043244777,1652713137718,1652713137084,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652701076323,,,1652713137084,0,12060761,0,0,0,,0,0,0,0.0,0.0,0.0,,
uorpbnoaNWOVTORGGMS8657686261571,1652702359144,1652702358999,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652700419845,,,0,0,0,0,0,0,both,0,0,0,0.0,440.0,0.0,,
nRX37056182721861434861204725541,1652713745937,1652713745272,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652713193613,,,1652713745272,0,551659,0,0,0,,0,0,0,0.0,0.0,0.0,,
eoxwaoIVD85132533318346702683112,1652713822358,1652713821723,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652713818961,,,0,0,0,0,0,0,,0,0,0,0.0,160.0,0.0,,
ALUKEE73117542840518124126736020,1652716915022,1652716914367,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652715300000,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
iDSEPYGQFPF037834712832151383122,1652724260000,1652724259869,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652720891752,,,1652724259868,0,3368116,0,0,0,,0,0,0,0.0,0.0,0.0,,
fvcO0473016806537155046382231203,1652725118911,1652725118789,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652724261683,,,1652725118788,0,857105,0,0,0,,0,0,0,0.0,0.0,0.0,,
fvconsjAMSXOAYQKNJGKPMMV31336108,1652725165974,1652725165364,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652725163872,,,0,0,0,0,0,0,,0,0,0,0.0,160.0,0.0,,
nhiackefolsmxMTGBKPI326615113623,1652725558655,1652725558028,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652725556608,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
yskovpeKFI6770866208810437362572,1652733088854,1652733088205,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652729370255,,,1652733088203,0,3717948,0,0,0,,0,0,0,0.0,0.0,0.0,,
jEDURLCRWYHWAEIKHWADAYTFXIH28668,1652731412428,1652731412214,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,pump,1652729660173,,,0,0,0,0,0,0,both,0,0,0,0.0,340.0,0.0,,
roOCHYRKTANHJQ668860711273531428,1652734694026,1652734693384,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652734692729,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
ooA63161338714708600867751383007,1652735467889,1652735467260,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,tummy_time,1652734701660,,,1652735467260,0,765600,0,0,0,,0,0,0,0.0,0.0,0.0,,
mK812224041481118208064702257448,1652735606639,1652735606023,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652735604004,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
lBNUIKIBXT2503454643720757611583,1652738389482,1652738388826,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652737977219,,,1652738388826,0,411607,0,0,0,,0,0,0,0.0,0.0,0.0,,
qawuftUI758514086105470281803585,1652742305791,1652742305181,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652742304530,,,0,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,,
hrqvuqrxiedikdxfrkML576801100721,1652743126761,1652743126665,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,crying,1652742472822,,,1652743126664,0,653842,0,0,0,,0,0,0,0.0,0.0,0.0,,
ioxaaosoncuJKJTTBB80712677686685,1652744574141,1652744573567,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652743080000,,,1652744557235,0,1477235,0,0,0,,0,0,0,0.0,0.0,0.0,,
ymjqkxbipjbdbjacmQSMR64774340040,1652745513342,1652745512743,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652745511735,,,0,0,0,0,0,0,,0,0,0,0.0,150.0,0.0,,
oepJN083754265888864054462282680,1652750178349,1652750177747,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,crying,1652748471116,,,1652750177747,0,1706631,0,0,0,,0,0,0,0.0,0.0,0.0,,
nuehPTQT563251302406885457687632,1652751403671,1652751403564,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652749440000,,,1652751403564,0,1963564,0,0,0,,0,0,0,0.0,0.0,0.0,,
smmwGBFTOUYYS7488240050681257542,1652751460099,1652751459948,j6A0wwOuFaN7aA8u0YP7LXanESu2,awyedysipgrgccchAIIDLBADYW530823,diaper_change,1652751454324,,,0,0,0,0,0,0,,1,1,0,0.0,0.0,0.0,,
mqDGESDWAP0836827480658124180484,1652752510186,1652752509592,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,bottle,1652751470741,,,0,0,0,0,0,0,,0,0,0,0.0,130.0,0.0,,
CY404840682843030518112536662430,1652782484391,1652782483893,KiohJy98DXTvEfe0E7T6tHzhoAA3,awyedysipgrgccchAIIDLBADYW530823,sleeping,1652753710231,,,1652782020000,0,28309769,0,0,0,,0,0,0,0.0,0.0,0.0,,
